Nom du magasin;Date de la période;Code article;Libellé article;Qté;Achat HT facturation;Achat HT cession;Ventes HT;Ventes TTC;Marge HT;Marge %
"""ANGLET 0047""";17/07/2025;"""3701754708439""";"""Bouquet chaud""";4;43,16;43,16;54,51;59,96;11,35;20,82
"""ANGLET 0047""";17/07/2025;"""3701754708460""";"""Bouquet froid""";1;8,63;8,63;10,90;11,99;2,27;20,83
"""ANGLET 0047""";17/07/2025;"""3701754708484""";"""Autre bouquet froid""";2;14,38;14,38;18,16;19,98;3,78;20,81
"""ANGLET 0047""";17/07/2025;"""3701754708941""";"""Autre bouquet chaud""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";17/07/2025;"""3701754708972""";"""Bouquet chaud""";1;8,63;8,63;10,90;11,99;2,27;20,83
"""ANGLET 0047""";17/07/2025;"""3701754709740""";"""Autre bouquet chaud""";3;25,89;25,89;32,70;35,97;6,81;20,83
"""ANGLET 0047""";17/07/2025;"""3701754700006""";"""Bottes Rose""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";17/07/2025;"""3701754711019""";"""Autres brassées""";2;14,38;14,38;18,16;19,98;3,78;20,81
"""ANGLET 0047""";17/07/2025;"""3701754712436""";"""Autres brassées""";2;8,62;8,62;10,89;11,98;2,27;20,84
"""ANGLET 0047""";17/07/2025;"""3701754700174""";"""Autres Plantes fleuries""";1;2,15;2,15;2,72;2,99;0,57;20,96
"""ANGLET 0047""";17/07/2025;"""3701754703625""";"""Lys""";1;17,99;17,99;22,72;24,99;4,73;20,82
"""ANGLET 0047""";17/07/2025;"""3701754704745""";"""Bromelia""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";17/07/2025;"""3701754705803""";"""Kalanchoe""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";17/07/2025;"""3701754705902""";"""Kalanchoe""";1;3,59;3,59;4,54;4,99;0,95;20,93
"""ANGLET 0047""";17/07/2025;"""3701754701874""";"""Cactée""";1;12,95;12,95;16,35;17,99;3,40;20,80
"""ANGLET 0047""";17/07/2025;"""3701754702031""";"""Cactée""";1;7,19;7,19;9,08;9,99;1,89;20,81
